orig,parsed,arpabet_name,unmapped
And1.wav,And/1,AA-N-D1_2.wav,
And1.wav,And/1,AA-N-D1_3.wav,
Ban3.wav,Ban/3,B3_2.wav,
Ban3.wav,Ban/3,B3_3.wav,
Ga1.wav,Ga/1,G-AE1_2.wav,
Ga1.wav,Ga/1,G-AE1_3.wav,
Gu1.wav,Gu/1,G-UW1_2.wav,
Gu1.wav,Gu/1,G-UW1_3.wav,
Sentence 3.wav,Sentence/2,SENTENCE3_2.wav,
Sentence 3.wav,Sentence/2,SENTENCE3_3.wav,
Uu2.wav,Uu/2,UW-UW2_2.wav,
Uu2.wav,Uu/2,UW-UW2_3.wav,
Vi3uu2 (1).wav,Vi/3,V-IH3_2.wav,
Vi3uu2 (1).wav,Vi/3,V-IH3_3.wav,
Vi3uu2 (1).wav,Vi/3;uu/2,V-IH3_UW-UW2_2.wav,
Vi3uu2 (1).wav,Vi/3;uu/2,V-IH3_UW-UW2_3.wav,
Zom2.wav,Zom/2,Z-OW-M2_2.wav,
Zom2.wav,Zom/2,Z-OW-M2_3.wav,
