orig,parsed,arpabet_name,unmapped
Ba1.wav,Ba/1,B-AA1_2.wav,
Ba1.wav,Ba/1,B-AA1_3.wav,
Be2.wav,Be/2,B-EY2_2.wav,
Be2.wav,Be/2,B-EY2_3.wav,
Dat3.wav,Dat/3,D-AA-T3_2.wav,
Dat3.wav,Dat/3,D-AA-T3_3.wav,
Kam1.wav,Kam/1,K-AA-M1_3.wav,
Kam1.wav,Kam/1,K-AA-M1_4.wav,
Ku2.wav,Ku/2,K-UW2_2.wav,
Ku2.wav,Ku/2,K-UW2_3.wav,
N2_3.wav,N/2,N2_3.wav,
N2_3.wav,N/2,N2_4.wav,
Ra1.wav,Ra/1,R-AA1_2.wav,
Ra1.wav,Ra/1,R-AA1_3.wav,
Sentence 11.wav,Sentence/2,SENTENCE11_2.wav,
Sentence 11.wav,Sentence/2,SENTENCE11_3.wav,
Wan1.wav,Wan/1,W-AN1_2.wav,
Wan1.wav,Wan/1,W-AN1_3.wav,
Yu3ug2.wav,Yu/3;ug/2,Y-UW3_UW-G2_2.wav,
Yu3ug2.wav,Yu/3;ug/2,Y-UW3_UW-G2_3.wav,
