orig,parsed,arpabet_name,unmapped
Eyyn2.wav,Eyyn/2,AY-Y2_2.wav,
Eyyn2.wav,Eyyn/2,AY-Y2_3.wav,
Ga1 (1).wav,Ga/1,G-AA1_2.wav,
Ga1 (1).wav,Ga/1,G-AA1_3.wav,
Man1.wav,Man/1,M-AA-N1_2.wav,
Man1.wav,Man/1,M-AA-N1_3.wav,
N_2_(N2_.wav,N/2;N/2,N2_N22_2.wav,
N_2_(N2_.wav,N/2;N/2,N2_N22_3.wav,
Pu3us2.wav,Pu/3;us/2,P-UW3_UW-S2_2.wav,
Pu3us2.wav,Pu/3;us/2,P-UW3_UW-S2_3.wav,
Pug2.wav,Pug/2,P-UW-G2_2.wav,
Pug2.wav,Pug/2,P-UW-G2_3.wav,
Ga1 (1).wav,Ga/1,R-AH1_1.wav,
Re3e2.wav,Re/3;e/2,R-EY3_EY2_2.wav,
Re3e2.wav,Re/3;e/2,R-EY3_EY2_3.wav,
Sentence 12.wav,Sentence/2,SENTENCE12_2.wav,
Sentence 12.wav,Sentence/2,SENTENCE12_3.wav,
Ti3.wav,Ti/3,T-IH3_2.wav,
Ti3.wav,Ti/3,T-IH3_3.wav,
Ya3an2.wav,Ya/3;an/2,Y-AA3_AA-N2_2.wav,
Ya3an2.wav,Ya/3;an/2,Y-AA3_AA-N2_3.wav,
Ye1.wav,Ye/1,Y-EY1_2.wav,
Ye1.wav,Ye/1,Y-EY1_3.wav,
