orig,parsed,arpabet_name,unmapped
Ba1.wav,Ba/1,B-AA1.wav,
Ba1.wav,Ba/1,B-AA1_1.wav,
Be2.wav,Be/2,B-EY2.wav,
Be2.wav,Be/2,B-EY2_1.wav,
Dat3.wav,Dat/3,D-AA-T3.wav,
Dat3.wav,Dat/3,D-AA-T3_1.wav,
Kam1.wav,Kam/1,K-AA-M1_1.wav,
Kam1.wav,Kam/1,K-AA-M1_2.wav,
Ku2.wav,Ku/2,K-UW2.wav,
Ku2.wav,Ku/2,K-UW2_1.wav,
N2.wav,N/2,N2_1.wav,
N2.wav,N/2,N2_2.wav,
Ra1.wav,Ra/1,R-AA1.wav,
Ra1.wav,Ra/1,R-AA1_1.wav,
Sentence 11.wav,Sentence/2,SENTENCE11.wav,
Sentence 11.wav,Sentence/2,SENTENCE11_1.wav,
Wan1.wav,Wan/1,W-AN1.wav,
Wan1.wav,Wan/1,W-AN1_1.wav,
Yu3ug2.wav,Yu/3;ug/2,Y-UW3_UW-G2.wav,
Yu3ug2.wav,Yu/3;ug/2,Y-UW3_UW-G2_1.wav,
