orig,parsed,arpabet_name,unmapped
GAN2_1.wav,Gan/2,GAN2_4.wav,
GEY3.wav,Gey/3,GEY3_4.wav,
Ka3.wav,Ka/3,KA3_4.wav,
LA1_1.wav,La/1,LA1_4.wav,
MAM2_1.wav,Mam/2,MAM2_4.wav,
NUN2.wav,Nun/2,NUN2_4.wav,
OL2_4.wav,Ol/2,OL2_4.wav,
PA2OL22_2.wav,Pa/2,PA2_4.wav,
PA2OL22_4.wav,Pa/2;ol/2,PA2OL22_4.wav,
RUNM1_3.wav,Runm/1,RUNM1_4.wav,
Sentence 13.wav,Sentence/2,SENTENCE13_4.wav,
Sentence 13.wav,Sentence/2,SENTENCE13_5.wav,
SI3.wav,Si/3,SI3_4.wav,
TA2_2.wav,Ta/2,TA2_4.wav,
VUN1_2.wav,Vun/1,VUN1_4.wav,
VUN2UG22_4.wav,Vun/2;ug/2,VUN2UG22_4.wav,
WA1_4.wav,Wa/1,WA1_4.wav,
WAN2_2.wav,Wan/2,WAN2_6.wav,
