orig,parsed,arpabet_name,unmapped
Bu1.wav,Bu/1,B-UW1_2.wav,
Bu1.wav,Bu/1,B-UW1_3.wav,
Ga1.wav,Ga/1,G-A1_2.wav,
Ga1.wav,Ga/1,G-A1_3.wav,
kud2.wav,Kud/2,K-UW-D2_2.wav,
kud2.wav,Kud/2,K-UW-D2_3.wav,
Mi3.wav,Mi/3,M-IH3_2.wav,
Mi3.wav,Mi/3,M-IH3_3.wav,
Nisr2.wav,Nisr/2,N-IY-S-R2_2.wav,
Nisr2.wav,Nisr/2,N-IY-S-R2_3.wav,
Gan2.wav,Gan/2,R-AA-N2_2.wav,
Gan2.wav,Gan/2,R-AA-N2_3.wav,
San3an2.wav,San/3;an/2,S-AA-N3_AA-N2_2.wav,
San3an2.wav,San/3;an/2,S-AA-N3_AA-N2_3.wav,
Sentence 8.wav,Sentence/2,SENTENCE8_2.wav,
Sentence 8.wav,Sentence/2,SENTENCE8_3.wav,
Ya2a2.wav,Ya/2;a/2,Y-AA2_AA2_2.wav,
Ya2a2.wav,Ya/2;a/2,Y-AA2_AA2_3.wav,
