orig,parsed,arpabet_name,unmapped
Eyyn2.wav,Eyyn/2,AY-Y2.wav,
Eyyn2.wav,Eyyn/2,AY-Y2_1.wav,
Ga1 (1).wav,Ga/1,G-AA1.wav,
Ga1 (1).wav,Ga/1,G-AA1_1.wav,
Man1.wav,Man/1,M-AA-N1.wav,
Man1.wav,Man/1,M-AA-N1_1.wav,
N_2_(N2_.wav,N/2;N/2,N2_N22.wav,
N_2_(N2_.wav,N/2;N/2,N2_N22_1.wav,
Pu3us2.wav,Pu/3;us/2,P-UW3_UW-S2.wav,
Pu3us2.wav,Pu/3;us/2,P-UW3_UW-S2_1.wav,
Pug2.wav,Pug/2,P-UW-G2.wav,
Pug2.wav,Pug/2,P-UW-G2_1.wav,
Ga1 (1).wav,Ga/1,R-AH1.wav,
Re3e2.wav,Re/3;e/2,R-EY3_EY2.wav,
Re3e2.wav,Re/3;e/2,R-EY3_EY2_1.wav,
Sentence 12.wav,Sentence/2,SENTENCE12.wav,
Sentence 12.wav,Sentence/2,SENTENCE12_1.wav,
Ti3.wav,Ti/3,T-IH3.wav,
Ti3.wav,Ti/3,T-IH3_1.wav,
Ya3an2.wav,Ya/3;an/2,Y-AA3_AA-N2.wav,
Ya3an2.wav,Ya/3;an/2,Y-AA3_AA-N2_1.wav,
Ye1.wav,Ye/1,Y-EY1.wav,
Ye1.wav,Ye/1,Y-EY1_1.wav,
