orig,parsed,arpabet_name,unmapped
And1.wav,And/1,AA-N-D1.wav,
And1.wav,And/1,AA-N-D1_1.wav,
Ban3.wav,Ban/3,B3.wav,
Ban3.wav,Ban/3,B3_1.wav,
Ga1.wav,Ga/1,G-AE1.wav,
Ga1.wav,Ga/1,G-AE1_1.wav,
Gu1.wav,Gu/1,G-UW1.wav,
Gu1.wav,Gu/1,G-UW1_1.wav,
Sentence 3.wav,Sentence/2,SENTENCE3.wav,
Sentence 3.wav,Sentence/2,SENTENCE3_1.wav,
Uu2.wav,Uu/2,UW-UW2.wav,
Uu2.wav,Uu/2,UW-UW2_1.wav,
Vi3uu2 (1).wav,Vi/3,V-IH3.wav,
Vi3uu2 (1).wav,Vi/3,V-IH3_1.wav,
Vi3uu2 (1).wav,Vi/3;uu/2,V-IH3_UW-UW2.wav,
Vi3uu2 (1).wav,Vi/3;uu/2,V-IH3_UW-UW2_1.wav,
Zom2.wav,Zom/2,Z-OW-M2.wav,
Zom2.wav,Zom/2,Z-OW-M2_1.wav,
