orig,parsed,arpabet_name,unmapped
Fu3.wav,Fu/3,FU3.wav,
Fu3.wav,Fu/3,FU3_1.wav,
Gan2.wav,Gan/2,GAN2.wav,
GAN2_1.wav,Gan/2,GAN2_1.wav,
Gu1.wav,Gu/1,GU1.wav,
GU1_1.wav,Gu/1,GU1_1.wav,
MI2.wav,Mi/2,MI2.wav,
MI2.wav,Mi/2,MI2_1.wav,
MI2UU22.wav,Mi/2;uu/2,MI2UU22.wav,
MI2UU22_1.wav,Mi/2;uu/2,MI2UU22_1.wav,
Sentence 14.wav,Sentence/2,SENTENCE14.wav,
Sentence 14.wav,Sentence/2,SENTENCE14_1.wav,
Uu2.wav,Uu/2,UU2.wav,
Uu2.wav,Uu/2,UU2_1.wav,
Ya3a2.wav,Ya/3;a/2,YA3A22.wav,
YA3A22_1.wav,Ya/3;a/2,YA3A22_1.wav,
YOR2.wav,Yor/2,YOR2.wav,
YOR2.wav,Yor/2,YOR2_1.wav,
