orig,parsed,arpabet_name,unmapped
Fu3.wav,Fu/3,FU3_2.wav,
Fu3.wav,Fu/3,FU3_3.wav,
GAN2_1.wav,Gan/2,GAN2_2.wav,
GAN2_1.wav,Gan/2,GAN2_3.wav,
GU1_2.wav,Gu/1,GU1_2.wav,
GU1_2.wav,Gu/1,GU1_3.wav,
MI2UU22_1.wav,Mi/2,MI2_2.wav,
MI2UU22_1.wav,Mi/2,MI2_3.wav,
MI2UU22_2.wav,Mi/2;uu/2,MI2UU22_2.wav,
MI2UU22_2.wav,Mi/2;uu/2,MI2UU22_3.wav,
Sentence 14.wav,Sentence/2,SENTENCE14_2.wav,
Sentence 14.wav,Sentence/2,SENTENCE14_3.wav,
UU2_2.wav,Uu/2,UU2_2.wav,
UU2_2.wav,Uu/2,UU2_3.wav,
YA3A22_1.wav,Ya/3;a/2,YA3A22_2.wav,
YA3A22_1.wav,Ya/3;a/2,YA3A22_3.wav,
YOR2_2.wav,Yor/2,YOR2_2.wav,
YOR2_2.wav,Yor/2,YOR2_3.wav,
