orig,parsed,arpabet_name,unmapped
Ba2.wav,Ba/2,B-AA2_2.wav,
Ba2.wav,Ba/2,B-AA2_3.wav,
Bi1.wav,Bi/1,B-IY1_3.wav,
Bi1.wav,Bi/1,B-IY1_4.wav,
Ga2.wav,Ga/2,G-W-UH-A2_2.wav,
Ga2.wav,Ga/2,G-W-UH-A2_3.wav,
Lan2.wav,Lan/2,L-AE-N2_2.wav,
Lan2.wav,Lan/2,L-AE-N2_3.wav,
Men1.wav,Men/1,M-EH-N1_2.wav,
Men1.wav,Men/1,M-EH-N1_3.wav,
Rib3.wav,Rib/3,R-IY-B3_2.wav,
Rib3.wav,Rib/3,R-IY-B3_3.wav,
Sag1.wav,Sag/1,SAAG1_2.wav,
Sag1.wav,Sag/1,SAAG1_3.wav,
Sa3an2.wav,Sa/3;an/2,S-AA3_AA-N2_2.wav,
Sa3an2.wav,Sa/3;an/2,S-AA3_AA-N2_3.wav,
Sentence 5.wav,Sentence/2,SENTENCE5_2.wav,
Sentence 5.wav,Sentence/2,SENTENCE5_3.wav,
Ti3.wav,Ti/3,T-IH3_2.wav,
Ti3.wav,Ti/3,T-IH3_3.wav,
Wun2.wav,Wun/2,WUHN2_1.wav,
Wun2.wav,Wun/2,W-UW-N2_1.wav,
